Rank,Book Title,Author,Rating,Reviews,Price,url,description,publisher,publication_date
#1,My Guide Dog is a Wolf Shifter,Roxie Ray,4.5,120.0,4.95,https://www.amazon.com/My-Guide-Dog-Wolf-Shifter-ebook/dp/B0GR98NZ57/ref=zg_bs_g_6190484011_d_sccl_1/142-5481648-3710261,N/A,N/A,N/A
#2,Dark Alchemy: House of Cards,I. T. Lucas,4.9,106.0,4.99,https://www.amazon.com/Dark-Alchemy-Children-Paranormal-Romance-ebook/dp/B0GJ4G9ZG8/ref=zg_bs_g_6190484011_d_sccl_2/142-5481648-3710261,N/A,N/A,N/A
#3,The Wolf King: A Fantasy Romance,Lauren Palphreyman,4.4,63517.0,4.99,https://www.amazon.com/Wolf-King-Fantasy-Romance-ebook/dp/B0CFQTT2BV/ref=zg_bs_g_6190484011_d_sccl_3/142-5481648-3710261,N/A,N/A,N/A
#4,Cursed with Benefits,Roxie Ray,4.5,388.0,4.95,https://www.amazon.com/Cursed-Benefits-Roxie-Ray-ebook/dp/B0GQ3BNQY9/ref=zg_bs_g_6190484011_d_sccl_4/142-5481648-3710261,N/A,N/A,N/A
#5,Crone of Thorns,Amanda M. Lee,4.7,442.0,5.99,https://www.amazon.com/Crone-Thorns-Amanda-M-Lee-ebook/dp/B0FMPJVJZM/ref=zg_bs_g_6190484011_d_sccl_5/142-5481648-3710261,N/A,N/A,N/A
#6,Zodiac Academy 3: The Reckoning,Caroline Peckham,4.6,104919.0,6.99,https://www.amazon.com/Zodiac-Academy-Reckoning-Romance-Supernatural-ebook/dp/B07XBGJKHQ/ref=zg_bs_g_6190484011_d_sccl_6/142-5481648-3710261,N/A,N/A,N/A
#7,Zodiac Academy 2: Ruthless Fae,Caroline Peckham,4.5,112404.0,6.99,https://www.amazon.com/Zodiac-Academy-Ruthless-Romance-Supernatural-ebook/dp/B07VJ383S6/ref=zg_bs_g_6190484011_d_sccl_7/142-5481648-3710261,N/A,N/A,N/A
#8,Zodiac Academy 5: Cursed Fates,Caroline Peckham,4.5,80988.0,7.99,https://www.amazon.com/Zodiac-Academy-Cursed-Fates-Romance-ebook/dp/B08914K4F9/ref=zg_bs_g_6190484011_d_sccl_8/142-5481648-3710261,N/A,N/A,N/A
#9,How Not to Kill a Hellhound,Shannon Mae,4.7,913.0,4.99,https://www.amazon.com/Kill-Hellhound-Hellhounds-Paradise-Falls-ebook/dp/B0FTTJQWG6/ref=zg_bs_g_6190484011_d_sccl_9/142-5481648-3710261,N/A,N/A,N/A
#10,Zodiac Academy 6: Fated Throne,Caroline Peckham,4.5,79249.0,7.99,https://www.amazon.com/Zodiac-Academy-6-Caroline-Peckham-ebook/dp/B088QJ787J/ref=zg_bs_g_6190484011_d_sccl_10/142-5481648-3710261,N/A,N/A,N/A
